"","file","mushroom","thin","stubby","filopodia"
"1","CellCounter_ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,2
"2","CellCounter_ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,3,10
"3","CellCounter_ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,3
"4","CellCounter_ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,6,2
"5","CellCounter_ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,5,5,3
"6","CellCounter_ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,3,3,3
"7","CellCounter_ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,4,3
"8","CellCounter_ER_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,2,3
"9","CellCounter_ER_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,7,2
"10","CellCounter_ER_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,1,5
"11","CellCounter_FFAT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,6,2
"12","CellCounter_FFAT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,2,2,1
"13","CellCounter_FFAT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,7,6
"14","CellCounter_FFAT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,5,3
"15","CellCounter_FFAT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,3,1,3
"16","CellCounter_FFAT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,3,2
"17","CellCounter_FFAT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,5,8,0
"18","CellCounter_FFAT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,7,8,0
"19","CellCounter_FFAT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,1,6
"20","CellCounter_FFAT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,6,9
"21","CellCounter_FYVE_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,2
"22","CellCounter_FYVE_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,1,5,1
"23","CellCounter_FYVE_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,3,1
"24","CellCounter_FYVE_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,5,4
"25","CellCounter_FYVE_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,3,4
"26","CellCounter_FYVE_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,4,0,1
"27","CellCounter_FYVE_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,2,4
"28","CellCounter_FYVE_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,5,2
"29","CellCounter_FYVE_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,1
"30","CellCounter_FYVE_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,1,5
"31","CellCounter_KIF5_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,3,7
"32","CellCounter_KIF5_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,3,1,1
"33","CellCounter_KIF5_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,1,11,0
"34","CellCounter_KIF5_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,5,4
"35","CellCounter_KIF5_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,1,1
"36","CellCounter_KIF5_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,1,5
"37","CellCounter_KIF5_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,1,8
"38","CellCounter_KIF5_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,2,4
"39","CellCounter_KIF5_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,3,10
"40","CellCounter_KIF5_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,4,8
"41","CellCounter_mCh_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,3,5
"42","CellCounter_mCh_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,4
"43","CellCounter_mCh_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,1,6
"44","CellCounter_mCh_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,7,8
"45","CellCounter_mCh_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,5
"46","CellCounter_mCh_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,5,6,0
"47","CellCounter_mCh_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,11,1
"48","CellCounter_mCh_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,6,2
"49","CellCounter_mCh_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,5,5
"50","CellCounter_mCh_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,3,6
"51","CellCounter_Mut2_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,1,3
"52","CellCounter_Mut2_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,8,3
"53","CellCounter_Mut2_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,3,3
"54","CellCounter_Mut2_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,3,3
"55","CellCounter_Mut2_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,15,0
"56","CellCounter_Mut2_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,6
"57","CellCounter_Mut2_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,3,4
"58","CellCounter_Mut2_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,2,5
"59","CellCounter_Mut2_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,0,5
"60","CellCounter_Mut2_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,5,4
"61","CellCounter_RBD_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,4,5,2
"62","CellCounter_RBD_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,3
"63","CellCounter_RBD_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,4,2
"64","CellCounter_RBD_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,7
"65","CellCounter_RBD_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,5,5
"66","CellCounter_RBD_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,11,0
"67","CellCounter_RBD_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,3
"68","CellCounter_RBD_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,11,2
"69","CellCounter_RBD_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,5,0
"70","CellCounter_RBD_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,11,4
"71","CellCounter_WT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,1,0
"72","CellCounter_WT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,1,1
"73","CellCounter_WT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,4,0
"74","CellCounter_WT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,2,4
"75","CellCounter_WT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,2,3
"76","CellCounter_WT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,2,3
"77","CellCounter_WT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,1
"78","CellCounter_WT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,5
"79","CellCounter_WT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,4,0
"80","CellCounter_WT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,1,3,1
